HCitation;HReference
Zhang, Y., Wijeratne, L. and Talebi, S., 2021;Zhang, Y., Wijeratne, L. and Talebi, S. (2021) 'Machine Learning for Light Sensor Calibration', Sensors, 21 (18), pp. 6259. https://doi.org/10.3390/s21186259
Allianz, 2024;Allianz (2024) Crash hour: car accidents peak around 3pm school pick-up. Available at: https://www.allianz.co.uk/news-and-insight/news/car-accidents-peak-around-3pm-school-pick-up-warns-allianz.html (Accessed: 08-06-2025)
Clarke et al., 2006;Clarke, D.D. et al. (2006) 'Young driver accidents in the UK: The influence of age, experience, and time of day', Accident Analysis & Prevention, 38 (5), pp. 871-878. https://doi.org/10.1016/j.aap.2006.02.013
Carey, R.N. and Sarma, K.M., 2017;Carey, R.N. and Sarma, K.M. (2017) 'Impact of daylight saving time on road traffic collision risk: a systematic review', BMJ Open, 7 (6), pp. Page unknown. https://doi.org/10.1136/bmjopen-2016-014319
Department for Transport, 2024;Department for Transport (2024) Reported road casualties in Great Britain, provisional estimates: 2024. pp. nan. Available at: https://www.gov.uk/government/statistics/reported-road-casualties-great-britain-provisional-results-2024/reported-road-casualties-in-great-britain-provisional-estimates-2024 (Accessed: 08-06-2025)
Hagita, K. and Mori, K., 2014;Hagita, K. and Mori, K. (2014) 'The Effect of Sun Glare on Traffic Accidents in Chiba Prefecture, Japan', Asian Transport Studies, 3 (2), pp. 205-219. https://doi.org/10.11175/eastsats.3.205
Department for Transport, 2025;Department for Transport (2025) Road Safety Data. Available at: https://www.data.gov.uk/dataset/cb7ae6f0-4be6-4935-9277-47e5ce24a11f/road-accidents-safety-data (Accessed: 08-06-2025)
Marchant, P.R. and Norman, P.D., 2022;Marchant, P.R. and Norman, P.D. (2022) 'To determine if changing to white light street lamps improves road safety: A multilevel longitudinal analysis of road traffic collisions during the relighting of Leeds, a UK city', Applied Spatial Analysis and Policy, 15 (December 2022), pp. 1583-1608. https://doi.org/10.1007/s12061-022-09468-w
Perkins et al., 2015;Perkins, C. et al. (2015) 'What is the effect of reduced street lighting on crime and road traffic injuries at night? A mixed-methods study', Public Health Research, 3 (11), pp. 107. https://doi.org/10.3310/phr03110
Tydall, 2025;Tydall, J. (2025) 'Road illumination and nighttime pedestrian deaths: Evidence from moonlight', Economics of Transportation, 42 (No Issue), pp. 1000411. https://www.justintyndall.com/tyndall_moon.pdf
